"","year","plan_name","state","return_1yr","ava_return","actuarial_cost_method_in_gasb_reporting","funded_ratio","ava","mva","mva_smooth","aal","tpl","adec","adec_paid_pct","statutory","statutory_pct","amortizaton_method","total_benefit_payments","benefit_payments","refunds","admin_exp","cost_structure","asset_valuation_method_for_gasb_reporting","payroll","ee_contribution","ee_nc_pct","er_contribution","er_nc_pct","er_state_contribution","er_proj_adec_pct","other_contribution","other_additions","fy_contribution","inflation_assum","arr","dr","number_of_years_remaining_on_amortization_schedule","payroll_growth_assumption","total_amortization_payment_pct","total_contribution","total_nc_pct","total_nc_dollar","total_number_of_members","total_proj_adec_pct","type_of_employees_covered","unfunded_actuarially_accrued_liabilities_dollar","wage_inflation"
"1225",2019,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana","0.0565","0.0706","Entry Age Normal","0.7419","5903191000","5905584176","5903306248","7957038000","7993617002","152663000","0.9295",NA,NA,"Level Percent Open","-422852590","430545410","-12360997","-3804394",NA,"4-year smoothed market value.","1247344000","101713235","0.079","101600460",NA,NA,"0.0877","33615000",NA,2021,NA,"0.0765","0.0765","36.0","0.035","0.0658","243613200","0.1009",NA,NA,NA,"Plan covers state and local employees","2053847000",NA
"1226",2020,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana","0.0273","0.0711","Entry Age Normal","0.74","6099398000","5845474024",NA,"8234003000","8483685413","156152450","0.71719",NA,NA,"Level Percent Open","-449775940","457520280","-11922673","-4059627",NA,"4-year smoothed market value.","1280557000","105009017","0.079","104673090",NA,NA,"0.0887","33951148",NA,2022,NA,"0.0765","0.0765","35.0","0.035","0.0696","252009250","0.0981",NA,NA,NA,"Plan covers state and local employees","2134605000",NA
"1227",2001,"Montana Teachers' Retirement System","Montana","-0.051","0.092","Entry Age Normal",NA,NA,"2239208114",NA,NA,NA,"51524000","1","50989948",NA,"Level Percent Closed","-118841900","117227000","-5370493","-1715782",NA,"5-year smoothed market",NA,"48277894",NA,"50989949",NA,"0",NA,"618014",NA,2002,NA,"0.08",NA,"15.0",NA,NA,"99885859",NA,NA,NA,NA,"Plan covers teachers",NA,NA
"1228",2002,"Montana Teachers' Retirement System","Montana","-0.073","0.038","Entry Age Normal","0.866","2596600000","2041691136",NA,"2980100000",NA,"51519000","1","51518712","0.0758","Level Percent Closed","-130006160","139131000","-6472327","-1606737",NA,"Adopted July 1 2000 the actuarial asset valuation method spreads asset gains and losses over five years. The expected return is determined each year based on the beginning of year market value and actual cash flows during the year. Any difference between ","538900000","47872258","0.0715","51518711",NA,"0","0.1472","762677",NA,2003,NA,"0.08","0.08","23.0",NA,"0.1154","100153650","0.1033",NA,NA,NA,"Plan covers teachers","383500000","0.05"
"1229",2003,"Montana Teachers' Retirement System","Montana","0.062","0.016","Entry Age Normal","0.81996","2599000000","2123634260",NA,"3169650000",NA,"53277000","1","53276950",NA,"Level Percent Closed","-140229500","139131000","-6468324","-1860967",NA,"Adopted July 1 2000 the actuarial asset valuation method spreads asset gains and losses over five years. The expected return is determined each year based on the beginning of year market value and actual cash flows during the year. Any difference between ","581950000","50221491",NA,"53276949",NA,"10124000",NA,"754298",NA,2004,NA,"0.08",NA,"23.0",NA,NA,"104256740",NA,NA,NA,NA,"Plan covers teachers","570650000",NA
"1230",2004,"Montana Teachers' Retirement System","Montana","0.133","0.021","Entry Age Normal","0.766","2601400000","2354844199",NA,"3359200000",NA,"55774000","1","55773716","0.0758","Level Percent Closed","-150270800","159776000","-5843069","-1506694",NA,"Adopted July 1 2000 the actuarial asset valuation method spreads asset gains and losses over five years. The expected return is determined each year based on the beginning of year market value and actual cash flows during the year. Any difference between ","571200000","51382941","0.0715","55773715",NA,"10654000","0.1879","771108",NA,2005,NA,"0.0775","0.0775","30.0",NA,"0.156","107927770","0.1034",NA,NA,NA,"Plan covers teachers","757800000","0.045"
"1231",2005,"Montana Teachers' Retirement System","Montana","0.0804","0.0271","Entry Age Normal","0.734","2623700000","2487136540",NA,"3527000000",NA,"57150000","1","57150364","0.0758","Level Percent Closed","-161247360","170129000","-4340382","-1560820",NA,"Adopted July 1 2000 the actuarial asset valuation method spreads asset gains and losses over five years. The expected return is determined each year based on the beginning of year market value and actual cash flows during the year. Any difference between ","585900000","52900262","0.0715","52900262",NA,"10814000","0.1811","656792",NA,2007,NA,"0.0775","0.0775","30.0",NA,"0.1491","110707420","0.1035",NA,NA,NA,"Plan covers teachers","903300000","0.045"
"1232",2006,"Montana Teachers' Retirement System","Montana","0.0891","0.0846","Entry Age Normal","0.761","2870500000","2745771047",NA,"3608900000",NA,"158962000","2.23","58268941","0.0758","Level Percent Closed","-171956500","181114000","-4876148","-1579155",NA,"Market value is used as the actuarial basis for the valuation of assets. (Adopted effective July 1 2006)","606989000","53292921","0.0715","58268941",NA,"10774000","0.1821","100697200",NA,2008,NA,"0.0775","0.0775","30.0",NA,"0.1499","212259060","0.1037",NA,NA,NA,"Plan covers teachers","863100000","0.045"
"1233",2007,"Montana Teachers' Retirement System","Montana","0.1764","0.1022","Entry Age Normal","0.796","3159600000","3209275322",NA,"3775100000",NA,"112664000","1.3","61935701","0.0958","Level Percent Closed","-182826750","195237000","-5594541","-1434103",NA,"4-year smoothed market value.","629501000","56500655","0.0715","61943984",NA,"12116000","0.1711","50735898",NA,2009,NA,"0.0775","0.0775","28.0",NA,"0.1386","169188470","0.104",NA,NA,NA,"Plan covers teachers","768900000","0.045"
"1234",2008,"Montana Teachers' Retirement System","Montana","-0.0488","0.0718","Entry Age Normal","0.799","3316200000","2993392632",NA,"3953700000",NA,"81423000","1","67930235","0.0958","Level Percent Closed","-196060220","219267000","-5694601","-1750765",NA,"4-year smoothed market value.","657435000","59560549","0.0715","67921953",NA,"26879000","0.1013","13508029",NA,2010,NA,"0.0775","0.0775","31.0",NA,"0.0641","140982590","0.1087",NA,NA,NA,"Plan covers teachers","794600000","0.045"
"1235",2009,"Montana Teachers' Retirement System","Montana","-0.208","-0.103","Entry Age Normal","0.6618","2919400000","2301618671",NA,"4173777000",NA,"80998000","1","66850644","0.0996","Level Percent Closed","-209942660","219267000","-5170028","-1853873",NA,"4-year smoothed market value.","683235000","57256365","0.0715","66850641",NA,"27291000","0.1407","14162745",NA,2011,NA,"0.0775","0.0775",NA,NA,"0.1053","138269750","0.1069",NA,NA,NA,"Plan covers teachers","1411583000","0.045"
"1236",2010,"Montana Teachers' Retirement System","Montana","0.129","0.098","Entry Age Normal","0.6544","2956583000","2521445720",NA,"4518168000",NA,"90947000","0.983","72179128","0.0996","Level Percent Closed","-220240530","234048000","-4165835","-1905124",NA,"4-year smoothed market value.","747037000","62844529","0.0715","72179125",NA,"31109000","0.1418","17241609",NA,2012,NA,"0.0775","0.0775","49.0",NA,"0.1159","152265270","0.0974",NA,NA,NA,"Plan covers teachers","1561585000","0.045"
"1237",2011,"Montana Teachers' Retirement System","Montana","0.217","-0.001","Entry Age Normal","0.6153","2866500000","2972421050",NA,"4658594000",NA,"91859000","0.983","72879950","0.0996","Level Percent Closed","-235122810","250500000","-4364713","-1843368",NA,"4-year smoothed market value.","746694000","62993192","0.0715","72879953",NA,"31577000","0.1349","17437365",NA,2013,NA,"0.0775","0.0775","71.0",NA,"0.11","153310520","0.0964",NA,NA,NA,"Plan covers teachers","1792110000","0.045"
"1238",2012,"Montana Teachers' Retirement System","Montana","0.022","0.032","Entry Age Normal","0.5924","2852007000","2932202476",NA,"4814726000",NA,"108984000","0.819","72422404","0.0996","Level Percent Closed","-251410450","267851000","-5294856","-1829800",NA,"4-year smoothed market value.","735587000","62745441","0.0715","72422406",NA,"32631000","0.1485","16843766",NA,2014,NA,"0.0775","0.0775",NA,NA,"0.1235","152011610","0.0965",NA,NA,NA,"Plan covers teachers","1962719000","0.045"
"1239",2013,"Montana Teachers' Retirement System","Montana","0.129","0.12","Entry Age Normal","0.668","3067878000","3185064406","3185064406","4592658000",NA,"130460000","0.7020000000000001","74113191","0.1096","Level Percent Closed","-268250220","284333000","-5119358","-1934182",NA,"4-year smoothed market value.","742609000","62849685","0.0815","74113188",NA,"17520000","0.1096","17521348",NA,2015,NA,"0.0775","0.0775","20.0",NA,"0.0991","154484220","0.092",NA,NA,NA,"Plan covers teachers","1524780000","0.045"
"1240",2014,"Montana Teachers' Retirement System","Montana","0.171","0.132","Entry Age Normal","0.6545","3397436000","3652220265","3652100237","5191069000","5191069342","148362940","1.0","83439612","0.1106","Level Percent Closed","-285182340","302272000","-4788688","-2022636",NA,"4-year smoothed market value.","750604000","70468354","0.0815","83439609",NA,"1752000","0.1106","64923320",NA,2016,NA,"0.0775","0.0775","28.0",NA,"0.1008","218831280","0.0913",NA,NA,NA,"Plan covers teachers","1793633000","0.04"
"1241",2015,"Montana Teachers' Retirement System","Montana","0.046","0.096","Entry Age Normal","0.6746","3609847000","3708385838","3708385838","5351392000","5351391599","130680400","1.0","87290863","0.1116","Level Percent Closed","-303675310","321511000","-5368359","-2035081",NA,"4-year smoothed market value.","768719000","72215797","0.0815","87290859",NA,"59041000","0.1116","43389535",NA,2017,NA,"0.0775","0.0775","28.0",NA,"0.101","202896190","0.0921",NA,NA,NA,"Plan covers teachers","1741545000","0.04"
"1242",2016,"Montana Teachers' Retirement System","Montana","0.021","0.088","Entry Age Normal","0.6928","3798944000","3656830798","3656830798","5483674000","5483673777","132546250","1.0","88643646","0.1126","Level Percent Closed","-320810250","336465000","-5086816","-2318818",NA,"4-year smoothed market value.","795921000","72740665","0.0815","88643648",NA,"59858000","0.1126","43902605",NA,2018,NA,"0.0775","0.0775","24.0",NA,"0.0954","205286920","0.0987",NA,NA,NA,"Plan covers teachers","1684730000","0.04"
"1243",2017,"Montana Teachers' Retirement System","Montana","0.119","0.082","Entry Age Normal","0.7049","3973519000","3950761443","3950704563","5636842000","5636841900","136267780","1.0","91853678","0.1136","Level Percent Closed","-333633720","352005000","-7355344","-2459458",NA,"4-year smoothed market value.","818123000","74253046","0.0815","91853680",NA,NA,"0.1136","44414109",NA,2019,NA,"0.0775","0.0775","22.0","0.04","0.0969","210520830","0.0982",NA,NA,NA,"Plan covers teachers","1663323000","0.04"
"1244",2018,"Montana Teachers' Retirement System","Montana","0.08800000000000001","0.069","Entry Age Normal","0.6819","4094393000","4148324206","4148324206","6004434000","6004434112","139239140","1.0","94233469","0.1146","Level Percent Closed","-352854030","367990000","-5322642","-2849527",NA,"4-year smoothed market value.","829709000","75594333","0.0815","94233469",NA,"45005672000","0.1146","45005672",NA,2020,NA,"0.075","0.075","31.0","0.0325","0.0965","214833470","0.0996",NA,NA,NA,"Plan covers teachers","1910042000","0.0325"
"1245",2019,"Montana Teachers' Retirement System","Montana","0.057","0.07","Entry Age Normal","0.6863","4219515000","4220285752","4220285752","6148556000","6148556456","143107310","0.99784","97303048","0.1156","Level Percent Closed","-367779910","383495000","-6008447","-2947109",NA,"4-year smoothed market value.","857468000","78150923","0.0815","97303047",NA,NA,"0.1156","45495336",NA,2021,NA,"0.075","0.075","29.0","0.0325","0.0993","220949310","0.0978",NA,NA,NA,"Plan covers teachers","1929041000",NA
"1246",2020,"Montana Teachers' Retirement System","Montana","0.027","0.07","Entry Age Normal","0.6884","4344045000","4167839558",NA,"6310005000","6417298230","148368700","1.0","102420318","0.1166","Level Percent Closed","-384396940","400111000","-5171751","-3767693",NA,"4-year smoothed market value.","880668000","80194548","0.0815","102420320",NA,NA,"0.1166","45948387",NA,2022,NA,"0.075","0.0734","29.0","0.0325","0.1006","228563250","0.0975",NA,NA,NA,"Plan covers teachers","1965960000",NA
"1247",2001,"Nebraska School Retirement System","Nebraska","-0.043","0.097","Entry Age Normal","0.872","1486008600","4269666533",NA,"1704201512",NA,"77062544","1",NA,NA,"Level Dollar Closed","-117769000","117778510","-13163000","-2014000",NA,"5-year smoothed market value.","995348331","76935000","0.0725","77036000",NA,"14452000","0.0732",NA,NA,2003,NA,"0.08","0.08","25.0","0.045","0.0259","168423000","0.1198",NA,NA,NA,"Plan covers teachers","218192847",NA
"1248",2002,"Nebraska School Retirement System","Nebraska","-0.061","0.046","Entry Age Normal","0.949","4799790000","4039474446",NA,"5055867993",NA,"80288662","1","80201908","0.0732","Level Dollar Closed","-130662000","130793550","-11626000","-2979000",NA,"5-year smoothed market value.","1065515857","81515860","0.0725","80223000",NA,"14971000","0.062",NA,NA,2004,NA,"0.08","0.08","25.0","0.045","0.0205","176655000","0.114",NA,NA,NA,"Plan covers teachers","256078100",NA
"1249",2003,"Nebraska School Retirement System","Nebraska","0.052","0.02","Entry Age Normal","0.906","4952903000","4279791718",NA,"5464572876",NA,"84467330","1","84438915","0.0732","Level Dollar Closed","-146350000","144283060","-10403000","-2095000",NA,"5-year smoothed market value.","1138776241","86802581","0.0725","86888000",NA,"15521000","0.0801",NA,NA,2005,NA,"0.08","0.08","25.0","0.045","0.0387","186649000","0.1139",NA,NA,NA,"Plan covers teachers","511670006",NA
"1250",2004,"Nebraska School Retirement System","Nebraska","0.146","0.03","Entry Age Normal","0.872","5118011000","4916045276",NA,"5868266970",NA,"87438804","1","87310577","0.0732","Level Dollar Closed","-165357000","176103610","-10533000","-4137000",NA,"5-year smoothed market value.","1170601127","88924206","0.0725","87350000",NA,"16642000","0.0972",NA,NA,2006,NA,"0.08","0.08","24.0","0.045","0.0556","193157000","0.1141",NA,NA,NA,"Plan covers teachers","750255805",NA
"1251",2005,"Nebraska School Retirement System","Nebraska","0.098","0.041","Entry Age Normal","0.856","5335197500","5393921737",NA,"6234657830",NA,"90147174","0.9000000000000001","90178025","0.0794","Level Dollar Closed","-184421000","188831250","-9952000","-4537000",NA,"5-year smoothed market value.","1214227197","92702063","0.0725","89806000",NA,"17390000","0.107",NA,NA,2007,NA,"0.08","0.08","23.0","0.045","0.0653","200258000","0.1142",NA,NA,NA,"Plan covers teachers","899460421",NA
"1252",2006,"Nebraska School Retirement System","Nebraska","0.104","0.072","Entry Age Normal","0.872","5739049000","5975488504",NA,"6584275406",NA,"102161426","1","102089105","0.0794","Level Dollar Closed","-206243000","213237390","-11631000","-4229000",NA,"5-year smoothed market value.","1247684378","104223857","0.0725","102086000",NA,"21545000","0.0933",NA,NA,2008,NA,"0.08","0.08","30.0","0.045","0.0549","237255000","0.1109",NA,NA,NA,"Plan covers teachers","845226412",NA
"1253",2007,"Nebraska School Retirement System","Nebraska","0.177","0.116","Entry Age Normal","0.905","6396337000","7025594510",NA,"7070308583",NA,"107478977","1","107573519","0.0744","Level Dollar Closed","-234156000","241597340","-11242000","-3759000",NA,"5-year smoothed market value.","1325616322","109217909","0.0783","107595000",NA,"17935000","0.0781",NA,NA,2009,NA,"0.08","0.08","30.0","0.045","0.0416","234585000","0.1148",NA,NA,NA,"Plan covers teachers","673971720",NA
"1254",2008,"Nebraska School Retirement System","Nebraska","-0.058","0.091","Entry Age Normal","0.906","6932918500","6578289204",NA,"7654536359",NA,"105977554","1","105977554","0.0735","Level Dollar Closed","-261352000","274791000","-10454000","-4782000",NA,"5-year smoothed market value.","1389124819","107352709","0.0728","105976000",NA,"18579000","0.0818",NA,NA,2010,NA,"0.08","0.08","30.0","0.0455","0.0429","231909000","0.1117",NA,NA,NA,"Plan covers teachers","721617721",NA
"1255",2009,"Nebraska School Retirement System","Nebraska","-0.191","0.019","Entry Age Normal","0.866","7007582000","5265649708",NA,"8092339318",NA,"110028942","1","110028942","0.0819","Level Dollar Closed","-295203000","290576280","-9394000","-2657000",NA,"5-year smoothed market value.","1481568432","110848494","0.0828","110029000",NA,"24527000","0.0896",NA,NA,2011,NA,"0.08","0.08","30.0","0.0455","0.0605","245405000","0.1119",NA,NA,NA,"Plan covers teachers","1084757493",NA
"1256",2010,"Nebraska School Retirement System","Nebraska","0.136","0.011","Entry Age Normal","0.824","7040908500","5940401647",NA,"8542119000",NA,"128845427","1","128845427","0.0836","Level Dollar Closed","-308747000","319865090","-10679000","-6110000",NA,"5-year smoothed market value.","1543930532","130054861","0.0828","128850000",NA,"25232000","0.1093",NA,NA,2012,NA,"0.08","0.08","30.0","0.0455","0.0807","284141000","0.1114",NA,NA,NA,"Plan covers teachers","1501210401",NA
"1257",2011,"Nebraska School Retirement System","Nebraska","0.233","0.04","Entry Age Normal","0.804","7267497500","7263954832",NA,"9039744995",NA,"135328339","0.89","135328339","0.0887","Level Dollar Closed","-339115000","353435160","-10613000","-4132000",NA,"5-year smoothed market value.","1590225983","137301890","0.0888","135323000",NA,"26794000","0.1157",NA,NA,2013,NA,"0.08","0.08","30.0","0.0455","0.0929","299414000","0.1116",NA,NA,NA,"Plan covers teachers","1772247736",NA
